time,seconds_elapsed,z,y,x,Activity,Shake
1743284675919296800,8.408296875,-0.1628057211637497,-10.706870079040527,-6.406883716583252,In Pocket,False
1743284675929336800,8.4183369140625,0.4788403511047363,-10.84094524383545,-6.464344501495361,In Pocket,False
1743284675939377200,8.428377197265625,-0.3160346150398254,-11.262324333190918,-6.45476770401001,In Pocket,False
1743284675949417200,8.438417236328124,-0.8236053586006165,-11.233593940734863,-5.803544998168945,In Pocket,False
1743284675959488000,8.448488037109374,-0.8810662031173706,-11.224017143249512,-5.200206279754639,In Pocket,False
1743284675969528000,8.458528076171875,-0.8906430602073669,-11.176133155822754,-4.836287498474121,In Pocket,False
1743284675979568400,8.468568359375,-0.8236053586006165,-10.984597206115724,-4.185064792633057,In Pocket,False
1743284675989608400,8.4786083984375,-0.8140285611152649,-10.65898609161377,-3.821146011352539,In Pocket,False
1743284675999648800,8.488648681640624,-1.1013327836990356,-10.26633644104004,-3.3518824577331543,In Pocket,False
1743284676009688800,8.498688720703125,-1.3503297567367554,-9.77791976928711,-2.75812029838562,In Pocket,False
1743284676019729000,8.50872900390625,-1.7525556087493896,-9.21288776397705,-2.19308876991272,In Pocket,False
1743284676029769200,8.518769287109375,-1.9919757843017576,-8.580819129943848,-1.7334020137786863,In Pocket,False
1743284676039809300,8.528809326171874,-2.31758713722229,-7.814674377441406,-1.656787633895874,In Pocket,False
1743284676049849600,8.538849609375,-2.920926094055176,-7.632715225219727,-1.9345149993896484,In Pocket,False
1743284676059920100,8.548920166015625,-3.026270866394043,-7.527369976043701,-2.288856744766236,In Pocket,False
1743284676069960400,8.55896044921875,-2.9017724990844727,-7.594407558441162,-2.537853717803955,In Pocket,False
1743284676080000500,8.56900048828125,-2.470816135406494,-7.862558364868164,-2.585737943649292,In Pocket,False
1743284676090040800,8.579040771484374,-1.7621324062347412,-8.255207061767578,-2.806004285812378,In Pocket,False
1743284676100081000,8.589080810546875,-0.8906430602073669,-8.925583839416504,-3.5242648124694824,In Pocket,False
1743284676110121200,8.599121337890624,0.1340752989053726,-9.404424667358398,-4.261679172515869,In Pocket,False
1743284676120161300,8.609161376953125,0.8523358106613159,-9.710882186889648,-4.9799394607543945,In Pocket,False
1743284676130201600,8.61920166015625,1.1492167711257937,-9.739612579345703,-5.688623428344727,In Pocket,False
1743284676140241700,8.62924169921875,1.1109095811843872,-9.528923034667969,-6.445190906524658,In Pocket,False
1743284676150281700,8.63928173828125,0.689530074596405,-9.318233489990234,-7.326257228851318,In Pocket,False
1743284676160322000,8.649322021484375,0.2011129409074783,-8.96389102935791,-7.881711959838867,In Pocket,False
1743284676170392600,8.659392578125,-0.3926490843296051,-8.647856712341309,-8.398859977722168,In Pocket,False
1743284676180433000,8.669432861328126,-0.871489405632019,-8.437167167663574,-8.561665534973145,In Pocket,False
1743284676190473000,8.679472900390625,-1.072602391242981,-8.33182144165039,-8.389283180236816,In Pocket,False
