Time,Seconds_Elapsed,Z,Y,X,Activity,Shake,Magnitude,Filtered_Mag,Mean_Mag,Std_Mag,Max_Mag,Min_Mag
1743284505966846500,0.416846435546875,9.940725326538086,-0.4979939460754394,-0.0957680642604827,Walking,False,9.953652068971254,9.957853063241268,9.94854635170107,0.008654264415625187,9.95836270151689,9.935583946582463
1743284505976886500,0.426886474609375,9.979032516479492,-0.507570743560791,-0.0957680642604827,Walking,False,9.992391582939796,9.957566510860339,9.94889539075255,0.008878706644339875,9.95836270151689,9.935583946582463
1743284505986926600,0.436926513671875,9.959878921508787,-0.4118026793003082,-0.0574608407914638,Walking,False,9.96855412414551,9.957296277820495,9.949461750341555,0.009041988551740819,9.95836270151689,9.935583946582463
1743284505996967000,0.446966796875,9.921571731567385,-0.3926490843296051,-0.0766144543886184,Walking,False,9.929633865489864,9.95708875528326,9.950235029059764,0.008997550592698089,9.95836270151689,9.935583946582463
1743284506007007000,0.457007080078125,9.921571731567385,-0.5171475410461426,-0.0861912593245506,Walking,False,9.93541424083722,9.956989403338614,9.951175984024228,0.008646625365795328,9.95836270151689,9.935583946582463
1743284506017047300,0.46704736328125,9.979032516479492,-0.4788403511047363,-0.0957680642604827,Walking,False,9.990973404475328,9.95702425292032,9.952223150898801,0.00796349717552375,9.95836270151689,9.935583946582463
1743284506027087400,0.47708740234375,9.940725326538086,-0.4884171485900879,-0.1053448766469955,Walking,False,9.953274278936975,9.9571958316568,9.95330374515252,0.006994129917828068,9.95836270151689,9.936634054405129
1743284506037158100,0.487158203125,9.959878921508787,-0.545877993106842,-0.1053448766469955,Walking,False,9.975383123344645,9.957490527008645,9.954346568782695,0.005836996988646304,9.95836270151689,9.93894023999406
1743284506047198500,0.497198486328125,9.911994934082031,-0.4405331015586853,-0.0287304203957319,Walking,False,9.921821325940762,9.957875620017024,9.955293337783841,0.0046141199086831355,9.95836270151689,9.942056276557727
1743284506057238500,0.507238525390625,9.921571731567385,-0.4788403511047363,-0.0861912593245506,Walking,False,9.93349397944485,9.958281806406712,9.956104614276292,0.0034416926065590795,9.95836270151689,9.94550664901753
1743284506067278800,0.51727880859375,9.979032516479492,-0.5171475410461426,-0.0957680642604827,Walking,False,9.99288262046029,9.958594107198843,9.956758987185356,0.0024102450330196487,9.958594107198843,9.94889009225332
1743284506077319000,0.52731884765625,9.911994934082031,-0.4596867263317108,-0.0287304203957319,Walking,False,9.922690204611325,9.958673828243034,9.957248173984842,0.0015784298592805464,9.958673828243034,9.95191999725943
1743284506087359000,0.53735888671875,10.02691650390625,-0.4884171485900879,-0.1244984865188598,Walking,False,10.039576971192059,9.958407193039562,9.95757253377385,0.0009783726577057355,9.958673828243034,9.954413905315054
1743284506097399300,0.5473994140625,9.90241813659668,-0.3926490843296051,-0.0766144543886184,Walking,False,9.910495851875677,9.957753227385329,9.957739499877365,0.0006359911839559746,9.958673828243034,9.956274745867367
1743284506107439400,0.557439453125,9.988609313964844,-0.4788403511047363,-0.1244984865188598,Walking,False,10.000855162535693,9.95676331180587,9.95776392817429,0.0005840293315718301,9.958673828243034,9.95676331180587
1743284506117510100,0.56751025390625,9.892841339111328,-0.4213795065879822,-0.0766144543886184,Walking,False,9.902107867723094,9.955563783555414,9.957667571304789,0.0007629970481324613,9.958673828243034,9.955563783555414
1743284506127550500,0.577550537109375,9.96945571899414,-0.4405331015586853,-0.0957680642604827,Walking,False,9.979643694475575,9.954316529110587,9.957476406702845,0.0010597097712131208,9.958673828243034,9.954316529110587
1743284506137590500,0.587590576171875,9.911994934082031,-0.4213795065879822,-0.1053448766469955,Walking,False,9.921507032949982,9.95318234930577,9.957217389092289,0.0014076542481764843,9.958673828243034,9.95318234930577
